behavior,counts,mouse,group
2,48,113,silvestre
2,156,113,silvestre
2,36,113,silvestre
2,72,113,silvestre
2,276,113,silvestre
2,84,113,silvestre
2,84,113,silvestre
2,252,113,silvestre
2,144,113,silvestre
2,180,113,silvestre
2,60,113,silvestre
2,72,113,silvestre
2,48,113,silvestre
2,12,113,silvestre
2,84,113,silvestre
2,108,113,silvestre
2,48,113,silvestre
2,108,113,silvestre
2,168,113,silvestre
2,288,113,silvestre
2,600,113,silvestre
2,108,113,silvestre
2,300,113,silvestre
2,36,113,silvestre
2,360,113,silvestre
2,720,113,silvestre
2,168,113,silvestre
2,84,113,silvestre
2,360,113,silvestre
2,336,113,silvestre
2,84,113,silvestre
2,132,113,silvestre
2,324,113,silvestre
2,804,113,silvestre
2,768,113,silvestre
2,36,113,silvestre
2,432,113,silvestre
2,252,113,silvestre
2,192,113,silvestre
2,636,113,silvestre
2,132,113,silvestre
2,516,113,silvestre
2,12,113,silvestre
2,12,113,silvestre
2,60,113,silvestre
2,396,197,silvestre
2,216,197,silvestre
2,36,197,silvestre
2,48,197,silvestre
2,408,197,silvestre
2,372,197,silvestre
2,360,197,silvestre
2,336,197,silvestre
2,96,197,silvestre
2,780,197,silvestre
2,312,197,silvestre
2,204,197,silvestre
2,768,197,silvestre
2,468,197,silvestre
2,168,197,silvestre
2,1404,197,silvestre
2,300,197,silvestre
2,372,197,silvestre
2,480,197,silvestre
2,120,197,silvestre
2,108,197,silvestre
2,360,197,silvestre
2,420,197,silvestre
2,384,197,silvestre
2,120,197,silvestre
2,528,197,silvestre
2,396,197,silvestre
2,336,197,silvestre
2,444,197,silvestre
2,360,712,silvestre
2,708,712,silvestre
2,48,712,silvestre
2,492,712,silvestre
2,144,712,silvestre
2,72,712,silvestre
2,456,712,silvestre
2,216,712,silvestre
2,12,712,silvestre
2,120,712,silvestre
2,96,712,silvestre
2,252,712,silvestre
2,360,712,silvestre
2,132,712,silvestre
2,48,712,silvestre
2,228,712,silvestre
2,720,712,silvestre
2,864,712,silvestre
2,576,712,silvestre
2,396,712,silvestre
2,588,712,silvestre
2,48,712,silvestre
2,168,712,silvestre
2,420,712,silvestre
2,156,712,silvestre
2,360,712,silvestre
2,72,712,silvestre
2,1620,712,silvestre
2,312,712,silvestre
2,420,712,silvestre
2,144,712,silvestre
2,24,712,silvestre
2,240,712,silvestre
2,132,712,silvestre
2,204,712,silvestre
2,60,712,silvestre
2,168,712,silvestre
2,180,742,silvestre
2,24,742,silvestre
2,72,742,silvestre
2,60,742,silvestre
2,348,742,silvestre
2,240,742,silvestre
2,144,742,silvestre
2,96,742,silvestre
2,444,742,silvestre
2,624,742,silvestre
2,816,742,silvestre
2,12,742,silvestre
2,108,742,silvestre
2,168,742,silvestre
2,480,742,silvestre
2,168,742,silvestre
2,180,742,silvestre
2,192,742,silvestre
2,264,742,silvestre
2,552,742,silvestre
2,468,742,silvestre
2,24,742,silvestre
