behavior,counts,mouse,group
2,180,113,silvestre
2,312,113,silvestre
2,84,113,silvestre
2,252,113,silvestre
2,60,113,silvestre
2,48,113,silvestre
2,84,113,silvestre
2,96,113,silvestre
2,396,113,silvestre
2,192,113,silvestre
2,300,113,silvestre
2,120,113,silvestre
2,24,113,silvestre
2,204,113,silvestre
2,240,113,silvestre
2,216,113,silvestre
2,1056,113,silvestre
2,48,113,silvestre
2,264,113,silvestre
2,120,113,silvestre
2,540,113,silvestre
2,384,113,silvestre
2,264,113,silvestre
2,156,113,silvestre
2,144,113,silvestre
2,72,113,silvestre
2,192,113,silvestre
2,276,113,silvestre
2,84,113,silvestre
2,816,113,silvestre
2,144,113,silvestre
2,84,113,silvestre
2,360,113,silvestre
2,192,113,silvestre
2,300,113,silvestre
2,108,113,silvestre
2,144,113,silvestre
2,84,113,silvestre
2,288,113,silvestre
2,96,113,silvestre
2,36,113,silvestre
2,24,113,silvestre
2,84,113,silvestre
2,204,113,silvestre
2,420,113,silvestre
2,432,113,silvestre
2,72,113,silvestre
2,60,113,silvestre
2,144,113,silvestre
2,72,113,silvestre
2,612,113,silvestre
2,228,113,silvestre
2,36,113,silvestre
2,336,113,silvestre
2,120,113,silvestre
2,636,113,silvestre
2,1032,113,silvestre
2,300,113,silvestre
2,96,113,silvestre
2,84,113,silvestre
2,96,113,silvestre
2,36,113,silvestre
2,36,113,silvestre
2,444,113,silvestre
2,24,113,silvestre
2,252,113,silvestre
2,48,113,silvestre
2,156,113,silvestre
2,36,113,silvestre
2,72,113,silvestre
2,276,113,silvestre
2,84,113,silvestre
2,84,113,silvestre
2,252,113,silvestre
2,144,113,silvestre
2,180,113,silvestre
2,60,113,silvestre
2,72,113,silvestre
2,48,113,silvestre
2,12,113,silvestre
2,84,113,silvestre
2,108,113,silvestre
2,48,113,silvestre
2,108,113,silvestre
2,168,113,silvestre
2,288,113,silvestre
2,600,113,silvestre
2,108,113,silvestre
2,300,113,silvestre
2,36,113,silvestre
2,360,113,silvestre
2,720,113,silvestre
2,168,113,silvestre
2,84,113,silvestre
