behavior,counts,mouse,group
1,24,113,silvestre
1,84,113,silvestre
1,60,113,silvestre
1,72,113,silvestre
1,72,113,silvestre
1,60,113,silvestre
1,72,113,silvestre
1,96,113,silvestre
1,132,113,silvestre
1,36,197,silvestre
1,24,197,silvestre
1,60,197,silvestre
1,84,197,silvestre
1,60,197,silvestre
1,60,197,silvestre
1,96,197,silvestre
1,60,197,silvestre
1,12,197,silvestre
1,96,197,silvestre
1,60,197,silvestre
1,12,197,silvestre
1,60,197,silvestre
1,36,197,silvestre
1,60,197,silvestre
1,180,197,silvestre
1,36,197,silvestre
1,72,197,silvestre
1,60,712,silvestre
1,24,712,silvestre
1,108,712,silvestre
1,72,712,silvestre
1,48,712,silvestre
1,132,712,silvestre
1,60,712,silvestre
1,96,712,silvestre
1,168,712,silvestre
1,108,712,silvestre
1,12,712,silvestre
1,84,712,silvestre
1,36,712,silvestre
1,72,742,silvestre
1,24,742,silvestre
1,36,742,silvestre
1,48,742,silvestre
1,96,742,silvestre
1,24,742,silvestre
1,120,742,silvestre
1,132,742,silvestre
1,48,742,silvestre
1,48,742,silvestre
1,48,742,silvestre
1,60,742,silvestre
1,48,742,silvestre
1,120,742,silvestre
1,48,742,silvestre
1,168,742,silvestre
1,36,742,silvestre
1,168,742,silvestre
1,120,742,silvestre
1,108,742,silvestre
1,24,750,silvestre
1,12,750,silvestre
1,12,755,silvestre
1,48,755,silvestre
1,72,755,silvestre
1,12,755,silvestre
1,24,755,silvestre
1,24,755,silvestre
1,24,755,silvestre
1,24,755,silvestre
1,36,755,silvestre
1,72,755,silvestre
1,96,755,silvestre
1,96,755,silvestre
1,108,755,silvestre
1,156,755,silvestre
1,84,755,silvestre
1,48,755,silvestre
1,72,132,txcb
1,48,132,txcb
1,180,132,txcb
1,24,132,txcb
1,156,132,txcb
1,96,132,txcb
1,72,132,txcb
1,72,132,txcb
1,24,132,txcb
1,168,132,txcb
1,72,132,txcb
1,60,132,txcb
1,48,132,txcb
1,132,132,txcb
1,60,132,txcb
1,36,132,txcb
1,156,132,txcb
1,36,132,txcb
1,60,132,txcb
1,12,132,txcb
1,96,132,txcb
1,84,132,txcb
1,36,132,txcb
1,60,132,txcb
1,48,159,txcb
1,48,159,txcb
1,108,159,txcb
1,36,159,txcb
1,24,159,txcb
1,24,159,txcb
1,96,159,txcb
1,24,159,txcb
1,108,159,txcb
1,120,159,txcb
1,60,159,txcb
1,36,159,txcb
1,48,159,txcb
1,36,159,txcb
1,48,159,txcb
1,36,159,txcb
1,84,159,txcb
1,108,159,txcb
1,60,159,txcb
1,72,159,txcb
1,36,159,txcb
1,84,159,txcb
1,24,160,txcb
1,24,160,txcb
1,132,160,txcb
1,36,160,txcb
1,60,160,txcb
1,48,160,txcb
1,24,160,txcb
1,96,160,txcb
1,240,160,txcb
1,24,160,txcb
1,48,160,txcb
1,48,160,txcb
1,192,160,txcb
1,48,160,txcb
1,36,160,txcb
1,72,160,txcb
1,132,160,txcb
1,84,160,txcb
1,96,160,txcb
1,72,160,txcb
1,60,160,txcb
1,192,160,txcb
1,96,160,txcb
1,120,786,txcb
1,96,786,txcb
1,72,786,txcb
1,108,786,txcb
1,144,786,txcb
1,120,786,txcb
1,96,786,txcb
1,48,786,txcb
1,24,786,txcb
1,192,786,txcb
1,96,786,txcb
1,264,786,txcb
1,84,786,txcb
1,48,786,txcb
1,84,786,txcb
1,12,786,txcb
1,60,786,txcb
1,48,786,txcb
1,48,786,txcb
1,180,786,txcb
1,156,786,txcb
1,168,786,txcb
1,72,786,txcb
1,132,786,txcb
1,72,786,txcb
1,84,786,txcb
1,60,88,txcb
1,24,88,txcb
1,72,88,txcb
1,24,88,txcb
1,36,88,txcb
1,24,88,txcb
1,48,88,txcb
1,36,88,txcb
1,60,88,txcb
1,36,88,txcb
1,24,88,txcb
1,108,88,txcb
1,24,88,txcb
1,24,88,txcb
1,36,88,txcb
1,132,88,txcb
1,36,88,txcb
1,24,88,txcb
1,48,88,txcb
1,12,88,txcb
1,48,88,txcb
1,48,88,txcb
1,60,88,txcb
1,60,88,txcb
1,84,88,txcb
1,48,88,txcb
1,96,88,txcb
1,48,88,txcb
1,84,88,txcb
1,60,88,txcb
1,36,88,txcb
1,48,88,txcb
1,24,93,txcb
1,96,93,txcb
1,60,93,txcb
1,108,93,txcb
1,24,93,txcb
1,36,93,txcb
1,84,93,txcb
1,48,93,txcb
1,48,93,txcb
1,48,93,txcb
1,480,93,txcb
1,36,93,txcb
1,60,93,txcb
1,24,93,txcb
1,36,93,txcb
1,96,93,txcb
1,36,93,txcb
1,24,93,txcb
1,96,93,txcb
1,168,93,txcb
1,168,93,txcb
1,96,93,txcb
1,36,93,txcb
1,48,93,txcb
1,48,93,txcb
1,48,93,txcb
1,24,93,txcb
1,48,93,txcb
1,48,93,txcb
1,24,93,txcb
1,48,93,txcb
1,36,93,txcb
1,12,93,txcb
1,96,93,txcb
1,36,93,txcb
1,96,131,txox
1,60,131,txox
1,48,131,txox
1,48,131,txox
1,96,131,txox
1,48,131,txox
1,72,131,txox
1,36,131,txox
1,108,131,txox
1,24,131,txox
1,36,131,txox
1,72,131,txox
1,120,131,txox
1,84,131,txox
1,132,131,txox
1,96,131,txox
1,60,131,txox
1,60,131,txox
1,60,131,txox
1,120,131,txox
1,24,131,txox
1,120,131,txox
1,48,753,txox
1,96,753,txox
1,36,753,txox
1,24,753,txox
1,36,753,txox
1,72,753,txox
1,72,753,txox
1,132,753,txox
1,264,753,txox
1,60,753,txox
1,132,753,txox
1,72,753,txox
1,84,753,txox
1,60,753,txox
1,72,756,txox
1,48,756,txox
1,36,756,txox
1,96,756,txox
1,60,756,txox
1,48,756,txox
1,36,756,txox
1,132,756,txox
1,36,756,txox
1,180,756,txox
1,108,756,txox
1,84,756,txox
1,12,756,txox
1,96,756,txox
1,108,756,txox
1,72,756,txox
1,72,756,txox
1,48,756,txox
1,120,756,txox
1,24,756,txox
1,60,756,txox
1,132,761,txox
1,60,761,txox
1,36,761,txox
1,84,761,txox
1,36,761,txox
1,24,761,txox
1,96,761,txox
1,96,761,txox
1,60,761,txox
1,84,761,txox
1,12,761,txox
1,156,761,txox
1,12,761,txox
1,120,761,txox
1,60,761,txox
1,24,761,txox
1,36,761,txox
1,72,761,txox
1,36,761,txox
1,36,761,txox
1,120,761,txox
1,24,761,txox
1,60,761,txox
1,108,761,txox
1,48,761,txox
1,84,761,txox
1,36,761,txox
1,84,761,txox
1,24,761,txox
1,204,761,txox
1,36,761,txox
1,12,761,txox
1,36,761,txox
1,144,761,txox
1,72,761,txox
1,72,761,txox
1,84,785,txox
1,144,785,txox
1,96,785,txox
1,144,785,txox
1,156,785,txox
1,84,785,txox
1,72,785,txox
1,84,785,txox
1,72,785,txox
1,180,785,txox
1,144,785,txox
1,132,785,txox
1,108,785,txox
1,84,785,txox
1,156,785,txox
1,180,785,txox
1,324,785,txox
1,48,785,txox
1,72,797,txox
1,48,797,txox
1,24,797,txox
1,12,797,txox
1,144,797,txox
1,24,797,txox
1,72,797,txox
1,36,797,txox
1,156,797,txox
1,48,797,txox
1,48,797,txox
1,72,797,txox
1,72,797,txox
1,24,797,txox
1,24,797,txox
1,72,797,txox
1,204,797,txox
1,72,797,txox
1,108,797,txox
1,60,797,txox
1,48,797,txox
1,48,797,txox
1,84,797,txox
1,36,797,txox
1,252,797,txox
1,48,797,txox
1,72,797,txox
1,36,797,txox
1,60,797,txox
1,72,797,txox
1,12,122,NB
1,60,122,NB
1,36,122,NB
1,36,122,NB
1,72,122,NB
1,108,122,NB
1,60,122,NB
1,60,122,NB
1,108,122,NB
1,72,122,NB
1,48,122,NB
1,84,122,NB
1,84,122,NB
1,120,122,NB
1,84,122,NB
1,84,122,NB
1,108,122,NB
1,84,122,NB
1,144,122,NB
1,12,122,NB
1,48,122,NB
1,12,122,NB
1,84,122,NB
1,84,151,NB
1,36,151,NB
1,12,151,NB
1,60,151,NB
1,96,151,NB
1,24,151,NB
1,24,151,NB
1,24,151,NB
1,108,151,NB
1,24,151,NB
1,48,151,NB
1,180,151,NB
1,84,151,NB
1,24,151,NB
1,24,151,NB
1,48,151,NB
1,48,151,NB
1,96,151,NB
1,36,151,NB
1,192,151,NB
1,36,151,NB
1,24,151,NB
1,36,151,NB
1,96,151,NB
1,36,151,NB
1,96,151,NB
1,192,151,NB
1,48,151,NB
1,96,151,NB
1,36,156,NB
1,48,156,NB
1,72,156,NB
1,36,156,NB
1,84,156,NB
1,36,156,NB
1,108,156,NB
1,24,156,NB
1,84,156,NB
1,48,156,NB
1,12,156,NB
1,36,156,NB
1,156,156,NB
1,24,156,NB
1,48,156,NB
1,72,156,NB
1,72,156,NB
1,84,156,NB
1,72,156,NB
1,48,156,NB
1,120,156,NB
1,84,156,NB
1,24,156,NB
1,84,156,NB
1,132,156,NB
1,12,156,NB
1,24,156,NB
1,60,156,NB
1,144,156,NB
1,108,156,NB
1,36,156,NB
1,120,156,NB
1,84,689,NB
1,36,689,NB
1,84,689,NB
1,72,689,NB
1,60,689,NB
1,120,689,NB
1,24,689,NB
1,144,689,NB
1,120,689,NB
1,204,689,NB
1,60,689,NB
1,48,689,NB
1,72,689,NB
1,48,689,NB
1,168,689,NB
1,216,689,NB
1,48,73,NB
1,120,73,NB
1,48,73,NB
1,60,73,NB
1,96,73,NB
1,60,73,NB
1,72,73,NB
1,72,73,NB
1,24,73,NB
1,24,73,NB
1,84,73,NB
1,180,73,NB
1,36,73,NB
1,36,73,NB
1,72,73,NB
1,24,73,NB
1,120,73,NB
1,48,73,NB
1,60,73,NB
1,72,73,NB
1,48,76,NB
1,120,76,NB
1,24,76,NB
1,36,76,NB
1,36,76,NB
1,24,76,NB
1,156,76,NB
1,156,76,NB
1,132,76,NB
1,48,76,NB
1,204,76,NB
1,120,76,NB
1,48,76,NB
1,48,76,NB
1,144,76,NB
1,108,76,NB
1,144,76,NB
1,60,76,NB
1,12,76,NB
1,72,76,NB
1,36,76,NB
1,24,130,txsham
1,36,130,txsham
1,36,130,txsham
1,48,130,txsham
1,36,130,txsham
1,60,130,txsham
1,48,130,txsham
1,36,130,txsham
1,60,130,txsham
1,72,130,txsham
1,96,130,txsham
1,60,130,txsham
1,24,130,txsham
1,36,130,txsham
1,48,130,txsham
1,108,130,txsham
1,48,130,txsham
1,48,130,txsham
1,72,130,txsham
1,108,130,txsham
1,60,130,txsham
1,144,130,txsham
1,36,130,txsham
1,72,130,txsham
1,60,130,txsham
1,120,130,txsham
1,60,130,txsham
1,60,130,txsham
1,84,130,txsham
1,84,130,txsham
1,48,130,txsham
1,36,130,txsham
1,36,130,txsham
1,24,130,txsham
1,36,130,txsham
1,60,130,txsham
1,96,130,txsham
1,72,146,txsham
1,60,146,txsham
1,96,146,txsham
1,84,146,txsham
1,156,146,txsham
1,48,146,txsham
1,36,146,txsham
1,36,146,txsham
1,120,146,txsham
1,72,146,txsham
1,24,146,txsham
1,96,146,txsham
1,84,146,txsham
1,72,146,txsham
1,84,146,txsham
1,108,146,txsham
1,156,146,txsham
1,72,157,txsham
1,36,157,txsham
1,60,157,txsham
1,180,157,txsham
1,180,157,txsham
1,72,157,txsham
1,96,157,txsham
1,168,157,txsham
1,36,157,txsham
1,36,157,txsham
1,96,157,txsham
1,60,157,txsham
1,48,157,txsham
1,228,157,txsham
1,12,157,txsham
1,60,74,txsham
1,132,74,txsham
1,36,74,txsham
1,72,75,txsham
1,36,75,txsham
1,72,75,txsham
1,84,75,txsham
1,60,75,txsham
1,48,75,txsham
1,96,75,txsham
1,108,75,txsham
1,48,75,txsham
1,48,75,txsham
1,24,75,txsham
1,96,75,txsham
1,24,75,txsham
1,36,75,txsham
1,60,75,txsham
1,132,75,txsham
1,36,81,txsham
1,156,81,txsham
1,96,81,txsham
1,72,81,txsham
1,60,81,txsham
1,24,81,txsham
1,48,81,txsham
1,36,81,txsham
1,168,81,txsham
1,60,81,txsham
1,96,81,txsham
1,96,81,txsham
1,132,81,txsham
1,48,81,txsham
1,60,81,txsham
1,36,81,txsham
1,108,81,txsham
1,72,81,txsham
1,84,81,txsham
1,36,81,txsham
1,180,81,txsham
1,84,81,txsham
1,36,81,txsham
1,36,81,txsham
1,84,81,txsham
1,120,81,txsham
1,60,81,txsham
1,48,81,txsham
