behavior,counts,mouse,group
1,48,113,silvestre
1,12,113,silvestre
1,96,113,silvestre
1,96,113,silvestre
1,60,113,silvestre
1,72,113,silvestre
1,60,113,silvestre
1,24,113,silvestre
1,132,113,silvestre
1,84,113,silvestre
1,48,113,silvestre
1,156,113,silvestre
1,120,113,silvestre
1,84,113,silvestre
1,36,113,silvestre
1,60,113,silvestre
1,24,113,silvestre
1,84,113,silvestre
1,60,113,silvestre
1,72,113,silvestre
1,72,113,silvestre
1,60,113,silvestre
1,72,113,silvestre
1,96,113,silvestre
1,132,113,silvestre
1,108,113,silvestre
1,132,197,silvestre
1,132,197,silvestre
1,192,197,silvestre
1,48,197,silvestre
1,108,197,silvestre
1,12,197,silvestre
1,84,197,silvestre
1,24,197,silvestre
1,24,197,silvestre
1,84,197,silvestre
1,120,197,silvestre
1,36,197,silvestre
1,24,197,silvestre
1,60,197,silvestre
1,84,197,silvestre
1,60,197,silvestre
1,60,197,silvestre
1,96,197,silvestre
1,60,197,silvestre
1,12,197,silvestre
1,96,197,silvestre
1,60,197,silvestre
1,12,197,silvestre
1,60,197,silvestre
1,36,197,silvestre
1,60,197,silvestre
1,180,197,silvestre
1,36,197,silvestre
1,72,197,silvestre
1,60,197,silvestre
1,168,197,silvestre
1,48,197,silvestre
1,48,197,silvestre
1,60,197,silvestre
1,120,197,silvestre
1,96,197,silvestre
1,180,197,silvestre
1,36,197,silvestre
1,36,197,silvestre
1,72,197,silvestre
1,108,197,silvestre
1,48,197,silvestre
1,36,197,silvestre
1,156,197,silvestre
1,36,197,silvestre
1,72,197,silvestre
1,48,197,silvestre
1,48,197,silvestre
1,96,197,silvestre
1,156,197,silvestre
1,168,197,silvestre
1,96,197,silvestre
1,180,197,silvestre
1,48,197,silvestre
1,108,197,silvestre
1,120,197,silvestre
1,48,197,silvestre
1,12,197,silvestre
1,108,197,silvestre
1,180,197,silvestre
1,216,197,silvestre
1,132,197,silvestre
1,156,197,silvestre
1,72,197,silvestre
1,36,197,silvestre
1,132,197,silvestre
1,168,197,silvestre
1,48,197,silvestre
1,96,197,silvestre
1,72,197,silvestre
1,132,712,silvestre
1,36,712,silvestre
1,36,712,silvestre
1,24,712,silvestre
1,84,712,silvestre
1,84,712,silvestre
1,84,712,silvestre
1,36,712,silvestre
1,84,712,silvestre
1,108,712,silvestre
1,48,712,silvestre
1,72,712,silvestre
1,156,712,silvestre
1,60,712,silvestre
1,24,712,silvestre
1,108,712,silvestre
1,72,712,silvestre
1,48,712,silvestre
1,132,712,silvestre
1,60,712,silvestre
1,96,712,silvestre
1,168,712,silvestre
1,108,712,silvestre
1,12,712,silvestre
1,84,712,silvestre
1,36,712,silvestre
1,36,712,silvestre
1,108,712,silvestre
1,84,712,silvestre
1,84,712,silvestre
1,12,712,silvestre
1,84,712,silvestre
1,72,712,silvestre
1,24,712,silvestre
1,60,712,silvestre
1,72,712,silvestre
1,36,712,silvestre
1,144,712,silvestre
1,108,712,silvestre
1,48,712,silvestre
1,108,712,silvestre
1,72,712,silvestre
1,192,712,silvestre
1,36,712,silvestre
1,168,712,silvestre
1,36,712,silvestre
1,12,712,silvestre
1,60,712,silvestre
1,48,712,silvestre
1,156,712,silvestre
1,24,742,silvestre
1,132,742,silvestre
1,24,742,silvestre
1,96,742,silvestre
1,84,742,silvestre
1,60,742,silvestre
1,96,742,silvestre
1,84,742,silvestre
1,192,742,silvestre
1,168,742,silvestre
1,48,742,silvestre
1,84,742,silvestre
1,60,742,silvestre
1,12,742,silvestre
1,60,742,silvestre
1,180,742,silvestre
1,72,742,silvestre
1,72,742,silvestre
1,72,742,silvestre
1,24,742,silvestre
1,36,742,silvestre
1,48,742,silvestre
1,96,742,silvestre
1,24,742,silvestre
1,120,742,silvestre
1,132,742,silvestre
1,48,742,silvestre
1,48,742,silvestre
1,48,742,silvestre
1,60,742,silvestre
1,48,742,silvestre
1,120,742,silvestre
1,48,742,silvestre
1,168,742,silvestre
1,36,742,silvestre
1,168,742,silvestre
1,120,742,silvestre
1,120,742,silvestre
1,48,742,silvestre
1,132,742,silvestre
1,72,742,silvestre
1,120,742,silvestre
1,36,742,silvestre
1,144,742,silvestre
1,36,742,silvestre
1,60,742,silvestre
1,84,742,silvestre
1,60,742,silvestre
1,36,742,silvestre
1,36,742,silvestre
1,48,742,silvestre
1,48,742,silvestre
1,120,742,silvestre
1,36,742,silvestre
1,84,742,silvestre
1,72,742,silvestre
1,36,742,silvestre
1,216,742,silvestre
1,48,742,silvestre
1,72,742,silvestre
1,48,742,silvestre
1,180,742,silvestre
1,24,742,silvestre
1,24,742,silvestre
1,48,742,silvestre
1,60,742,silvestre
1,36,750,silvestre
1,108,750,silvestre
1,36,750,silvestre
1,24,750,silvestre
1,84,750,silvestre
1,60,750,silvestre
1,120,750,silvestre
1,12,750,silvestre
1,132,750,silvestre
1,60,750,silvestre
1,36,750,silvestre
1,84,750,silvestre
1,48,750,silvestre
1,144,750,silvestre
1,72,750,silvestre
1,60,750,silvestre
1,48,750,silvestre
1,120,750,silvestre
1,60,750,silvestre
1,48,750,silvestre
1,36,750,silvestre
1,36,750,silvestre
1,120,750,silvestre
1,12,750,silvestre
1,36,750,silvestre
1,36,750,silvestre
1,36,750,silvestre
1,36,750,silvestre
1,72,750,silvestre
1,72,750,silvestre
1,60,750,silvestre
1,12,750,silvestre
1,156,750,silvestre
1,120,750,silvestre
1,72,750,silvestre
1,72,750,silvestre
1,156,750,silvestre
1,72,750,silvestre
1,24,750,silvestre
1,120,750,silvestre
1,36,750,silvestre
1,36,750,silvestre
1,48,750,silvestre
1,156,750,silvestre
1,72,750,silvestre
1,300,750,silvestre
1,48,750,silvestre
1,120,750,silvestre
1,60,750,silvestre
1,168,750,silvestre
1,132,750,silvestre
1,24,755,silvestre
1,24,755,silvestre
1,24,755,silvestre
1,84,755,silvestre
1,48,755,silvestre
1,24,755,silvestre
1,72,755,silvestre
1,12,755,silvestre
1,156,755,silvestre
1,24,755,silvestre
1,120,755,silvestre
1,36,755,silvestre
1,36,755,silvestre
1,24,755,silvestre
1,48,755,silvestre
1,60,755,silvestre
1,60,755,silvestre
1,36,755,silvestre
1,144,755,silvestre
1,48,755,silvestre
1,36,755,silvestre
1,48,755,silvestre
1,36,755,silvestre
1,12,755,silvestre
1,120,755,silvestre
1,120,755,silvestre
1,36,755,silvestre
1,96,755,silvestre
1,96,755,silvestre
1,96,755,silvestre
1,228,755,silvestre
1,36,755,silvestre
1,48,755,silvestre
1,36,755,silvestre
1,48,755,silvestre
1,12,755,silvestre
1,48,755,silvestre
1,72,755,silvestre
1,12,755,silvestre
1,24,755,silvestre
1,24,755,silvestre
1,24,755,silvestre
1,24,755,silvestre
1,36,755,silvestre
1,72,755,silvestre
1,96,755,silvestre
1,96,755,silvestre
1,108,755,silvestre
1,156,755,silvestre
1,84,755,silvestre
1,72,755,silvestre
1,48,755,silvestre
1,24,755,silvestre
1,96,755,silvestre
1,48,755,silvestre
1,48,755,silvestre
1,48,755,silvestre
1,48,755,silvestre
1,12,755,silvestre
1,156,755,silvestre
1,36,755,silvestre
1,84,755,silvestre
1,144,755,silvestre
1,96,755,silvestre
1,48,755,silvestre
1,96,755,silvestre
1,168,755,silvestre
1,24,755,silvestre
1,72,755,silvestre
1,36,755,silvestre
1,180,755,silvestre
1,36,755,silvestre
1,24,755,silvestre
1,24,755,silvestre
1,36,755,silvestre
1,144,755,silvestre
1,60,755,silvestre
1,132,755,silvestre
1,48,755,silvestre
1,72,755,silvestre
1,192,755,silvestre
1,48,755,silvestre
1,204,755,silvestre
1,24,109,txcb
1,24,109,txcb
1,108,109,txcb
1,36,109,txcb
1,60,109,txcb
1,48,109,txcb
1,60,109,txcb
1,84,109,txcb
1,24,109,txcb
1,12,109,txcb
1,72,109,txcb
1,36,109,txcb
1,48,109,txcb
1,24,109,txcb
1,108,109,txcb
1,12,109,txcb
1,24,109,txcb
1,60,109,txcb
1,108,109,txcb
1,24,109,txcb
1,36,109,txcb
1,120,132,txcb
1,24,132,txcb
1,168,132,txcb
1,36,132,txcb
1,84,132,txcb
1,36,132,txcb
1,24,132,txcb
1,72,132,txcb
1,168,132,txcb
1,48,132,txcb
1,12,132,txcb
1,48,132,txcb
1,132,132,txcb
1,132,132,txcb
1,36,132,txcb
1,192,132,txcb
1,156,132,txcb
1,12,132,txcb
1,72,132,txcb
1,48,132,txcb
1,180,132,txcb
1,24,132,txcb
1,156,132,txcb
1,96,132,txcb
1,72,132,txcb
1,72,132,txcb
1,24,132,txcb
1,168,132,txcb
1,72,132,txcb
1,60,132,txcb
1,48,132,txcb
1,132,132,txcb
1,60,132,txcb
1,36,132,txcb
1,156,132,txcb
1,36,132,txcb
1,60,132,txcb
1,12,132,txcb
1,96,132,txcb
1,84,132,txcb
1,36,132,txcb
1,60,132,txcb
1,72,132,txcb
1,96,132,txcb
1,84,132,txcb
1,96,132,txcb
1,36,132,txcb
1,60,132,txcb
1,72,132,txcb
1,60,132,txcb
1,48,132,txcb
1,120,132,txcb
1,156,159,txcb
1,84,159,txcb
1,84,159,txcb
1,60,159,txcb
1,60,159,txcb
1,36,159,txcb
1,48,159,txcb
1,12,159,txcb
1,168,159,txcb
1,96,159,txcb
1,156,159,txcb
1,84,159,txcb
1,168,159,txcb
1,72,159,txcb
1,12,159,txcb
1,108,159,txcb
1,72,159,txcb
1,48,159,txcb
1,96,159,txcb
1,48,159,txcb
1,96,159,txcb
1,60,159,txcb
1,48,159,txcb
1,36,159,txcb
1,108,159,txcb
1,12,159,txcb
1,60,159,txcb
1,192,159,txcb
1,156,159,txcb
1,96,159,txcb
1,192,159,txcb
1,12,159,txcb
1,48,159,txcb
1,48,159,txcb
1,108,159,txcb
1,36,159,txcb
1,24,159,txcb
1,24,159,txcb
1,96,159,txcb
1,24,159,txcb
1,108,159,txcb
1,120,159,txcb
1,60,159,txcb
1,36,159,txcb
1,48,159,txcb
1,36,159,txcb
1,48,159,txcb
1,36,159,txcb
1,84,159,txcb
1,108,159,txcb
1,60,159,txcb
1,72,159,txcb
1,36,159,txcb
1,84,159,txcb
1,60,160,txcb
1,36,160,txcb
1,96,160,txcb
1,108,160,txcb
1,72,160,txcb
1,144,160,txcb
1,60,160,txcb
1,60,160,txcb
1,12,160,txcb
1,36,160,txcb
1,24,160,txcb
1,216,160,txcb
1,36,160,txcb
1,96,160,txcb
1,216,160,txcb
1,108,160,txcb
1,48,160,txcb
1,144,160,txcb
1,204,160,txcb
1,216,160,txcb
1,60,160,txcb
1,132,160,txcb
1,168,160,txcb
1,48,160,txcb
1,72,160,txcb
1,168,160,txcb
1,120,160,txcb
1,192,160,txcb
1,108,160,txcb
1,48,160,txcb
1,132,160,txcb
1,204,160,txcb
1,48,160,txcb
1,24,160,txcb
1,168,160,txcb
1,24,160,txcb
1,24,160,txcb
1,132,160,txcb
1,36,160,txcb
1,60,160,txcb
1,48,160,txcb
1,24,160,txcb
1,96,160,txcb
1,240,160,txcb
1,24,160,txcb
1,48,160,txcb
1,48,160,txcb
1,192,160,txcb
1,48,160,txcb
1,36,160,txcb
1,72,160,txcb
1,132,160,txcb
1,84,160,txcb
1,96,160,txcb
1,72,160,txcb
1,60,160,txcb
1,192,160,txcb
1,96,160,txcb
1,108,160,txcb
1,36,786,txcb
1,120,786,txcb
1,12,786,txcb
1,24,786,txcb
1,24,786,txcb
1,180,786,txcb
1,48,786,txcb
1,132,786,txcb
1,144,786,txcb
1,12,786,txcb
1,72,786,txcb
1,276,786,txcb
1,48,786,txcb
1,72,786,txcb
1,24,786,txcb
1,48,786,txcb
1,132,786,txcb
1,48,786,txcb
1,48,786,txcb
1,24,786,txcb
1,24,786,txcb
1,48,786,txcb
1,12,786,txcb
1,84,786,txcb
1,72,786,txcb
1,72,786,txcb
1,216,786,txcb
1,48,786,txcb
1,36,786,txcb
1,36,786,txcb
1,72,786,txcb
1,48,786,txcb
1,48,786,txcb
1,84,786,txcb
1,48,786,txcb
1,120,786,txcb
1,96,786,txcb
1,72,786,txcb
1,108,786,txcb
1,144,786,txcb
1,120,786,txcb
1,96,786,txcb
1,48,786,txcb
1,24,786,txcb
1,192,786,txcb
1,96,786,txcb
1,264,786,txcb
1,84,786,txcb
1,48,786,txcb
1,84,786,txcb
1,12,786,txcb
1,60,786,txcb
1,48,786,txcb
1,48,786,txcb
1,180,786,txcb
1,156,786,txcb
1,168,786,txcb
1,72,786,txcb
1,132,786,txcb
1,72,786,txcb
1,84,786,txcb
1,72,786,txcb
1,108,786,txcb
1,120,786,txcb
1,120,786,txcb
1,48,786,txcb
1,132,786,txcb
1,108,786,txcb
1,12,786,txcb
1,48,786,txcb
1,108,786,txcb
1,156,786,txcb
1,24,786,txcb
1,36,786,txcb
1,72,786,txcb
1,60,786,txcb
1,48,786,txcb
1,24,786,txcb
1,72,786,txcb
1,24,786,txcb
1,72,786,txcb
1,36,786,txcb
1,24,786,txcb
1,36,786,txcb
1,84,786,txcb
1,108,786,txcb
1,24,786,txcb
1,84,786,txcb
1,36,786,txcb
1,84,786,txcb
1,108,786,txcb
1,120,786,txcb
1,24,786,txcb
1,168,786,txcb
1,36,786,txcb
1,132,786,txcb
1,168,88,txcb
1,60,88,txcb
1,24,88,txcb
1,72,88,txcb
1,24,88,txcb
1,36,88,txcb
1,24,88,txcb
1,48,88,txcb
1,36,88,txcb
1,60,88,txcb
1,36,88,txcb
1,24,88,txcb
1,108,88,txcb
1,24,88,txcb
1,24,88,txcb
1,36,88,txcb
1,132,88,txcb
1,36,88,txcb
1,24,88,txcb
1,48,88,txcb
1,12,88,txcb
1,48,88,txcb
1,48,88,txcb
1,60,88,txcb
1,60,88,txcb
1,84,88,txcb
1,48,88,txcb
1,96,88,txcb
1,48,88,txcb
1,84,88,txcb
1,60,88,txcb
1,36,88,txcb
1,48,88,txcb
1,36,88,txcb
1,132,88,txcb
1,132,88,txcb
1,24,88,txcb
1,108,88,txcb
1,60,88,txcb
1,180,88,txcb
1,60,88,txcb
1,60,88,txcb
1,120,88,txcb
1,36,88,txcb
1,36,88,txcb
1,12,88,txcb
1,60,88,txcb
1,48,88,txcb
1,36,88,txcb
1,72,88,txcb
1,204,88,txcb
1,36,88,txcb
1,48,88,txcb
1,36,88,txcb
1,12,88,txcb
1,24,88,txcb
1,48,88,txcb
1,36,88,txcb
1,84,88,txcb
1,24,88,txcb
1,36,88,txcb
1,204,88,txcb
1,72,88,txcb
1,48,88,txcb
1,180,88,txcb
1,60,88,txcb
1,24,88,txcb
1,48,88,txcb
1,288,88,txcb
1,48,93,txcb
1,96,93,txcb
1,60,93,txcb
1,144,93,txcb
1,24,93,txcb
1,96,93,txcb
1,60,93,txcb
1,108,93,txcb
1,24,93,txcb
1,36,93,txcb
1,84,93,txcb
1,48,93,txcb
1,48,93,txcb
1,48,93,txcb
1,480,93,txcb
1,36,93,txcb
1,60,93,txcb
1,24,93,txcb
1,36,93,txcb
1,96,93,txcb
1,36,93,txcb
1,24,93,txcb
1,96,93,txcb
1,168,93,txcb
1,168,93,txcb
1,96,93,txcb
1,36,93,txcb
1,48,93,txcb
1,48,93,txcb
1,48,93,txcb
1,24,93,txcb
1,48,93,txcb
1,48,93,txcb
1,24,93,txcb
1,48,93,txcb
1,36,93,txcb
1,12,93,txcb
1,96,93,txcb
1,36,93,txcb
1,84,93,txcb
1,48,93,txcb
1,72,93,txcb
1,132,93,txcb
1,96,93,txcb
1,204,93,txcb
1,72,93,txcb
1,60,93,txcb
1,48,93,txcb
1,48,93,txcb
1,180,93,txcb
1,24,93,txcb
1,12,93,txcb
1,156,93,txcb
1,36,93,txcb
1,12,93,txcb
1,168,93,txcb
1,132,93,txcb
1,168,93,txcb
1,132,93,txcb
1,48,93,txcb
1,72,93,txcb
1,36,93,txcb
1,60,93,txcb
1,156,93,txcb
1,36,93,txcb
1,108,93,txcb
1,108,93,txcb
1,36,93,txcb
1,60,93,txcb
1,24,93,txcb
1,84,93,txcb
1,72,93,txcb
1,48,131,txox
1,24,131,txox
1,36,131,txox
1,132,131,txox
1,60,131,txox
1,60,131,txox
1,72,131,txox
1,96,131,txox
1,72,131,txox
1,180,131,txox
1,120,131,txox
1,84,131,txox
1,60,131,txox
1,72,131,txox
1,228,131,txox
1,108,131,txox
1,72,131,txox
1,48,131,txox
1,132,131,txox
1,36,131,txox
1,72,131,txox
1,36,131,txox
1,156,131,txox
1,180,131,txox
1,144,131,txox
1,60,131,txox
1,36,131,txox
1,48,131,txox
1,48,131,txox
1,168,131,txox
1,48,131,txox
1,120,131,txox
1,96,131,txox
1,60,131,txox
1,48,131,txox
1,48,131,txox
1,96,131,txox
1,48,131,txox
1,72,131,txox
1,36,131,txox
1,108,131,txox
1,24,131,txox
1,36,131,txox
1,72,131,txox
1,120,131,txox
1,84,131,txox
1,132,131,txox
1,96,131,txox
1,60,131,txox
1,60,131,txox
1,60,131,txox
1,120,131,txox
1,24,131,txox
1,120,131,txox
1,72,131,txox
1,96,131,txox
1,72,131,txox
1,108,131,txox
1,84,131,txox
1,132,131,txox
1,180,131,txox
1,36,753,txox
1,24,753,txox
1,120,753,txox
1,96,753,txox
1,72,753,txox
1,48,753,txox
1,48,753,txox
1,84,753,txox
1,12,753,txox
1,24,753,txox
1,168,753,txox
1,36,753,txox
1,24,753,txox
1,144,753,txox
1,48,753,txox
1,48,753,txox
1,108,753,txox
1,48,753,txox
1,36,753,txox
1,36,753,txox
1,120,753,txox
1,24,753,txox
1,36,753,txox
1,84,753,txox
1,72,753,txox
1,36,753,txox
1,48,753,txox
1,96,753,txox
1,36,753,txox
1,24,753,txox
1,36,753,txox
1,72,753,txox
1,72,753,txox
1,132,753,txox
1,264,753,txox
1,60,753,txox
1,132,753,txox
1,72,753,txox
1,84,753,txox
1,60,753,txox
1,96,753,txox
1,144,753,txox
1,60,753,txox
1,36,753,txox
1,60,753,txox
1,48,753,txox
1,48,753,txox
1,192,753,txox
1,36,753,txox
1,132,753,txox
1,168,753,txox
1,36,753,txox
1,72,753,txox
1,180,753,txox
1,192,753,txox
1,72,753,txox
1,72,753,txox
1,36,753,txox
1,156,753,txox
1,96,753,txox
1,60,753,txox
1,36,753,txox
1,36,753,txox
1,48,753,txox
1,36,753,txox
1,48,756,txox
1,48,756,txox
1,24,756,txox
1,168,756,txox
1,96,756,txox
1,84,756,txox
