behavior,counts,mouse,group
3,720,113,silvestre
3,168,113,silvestre
3,300,113,silvestre
3,72,113,silvestre
3,36,113,silvestre
3,852,113,silvestre
3,36,113,silvestre
3,24,113,silvestre
3,120,113,silvestre
3,36,113,silvestre
3,60,113,silvestre
3,48,113,silvestre
3,180,113,silvestre
3,60,113,silvestre
3,24,113,silvestre
3,1764,113,silvestre
3,24,113,silvestre
3,252,113,silvestre
3,36,113,silvestre
3,24,113,silvestre
3,12,113,silvestre
3,72,113,silvestre
3,36,113,silvestre
3,72,113,silvestre
3,12,113,silvestre
3,1356,113,silvestre
3,36,113,silvestre
3,36,113,silvestre
3,48,113,silvestre
3,36,113,silvestre
3,120,113,silvestre
3,336,113,silvestre
3,420,113,silvestre
3,96,113,silvestre
3,24,113,silvestre
3,12,113,silvestre
3,36,113,silvestre
3,300,113,silvestre
3,48,113,silvestre
3,84,113,silvestre
3,204,113,silvestre
3,36,113,silvestre
3,132,113,silvestre
3,156,113,silvestre
3,24,113,silvestre
3,60,113,silvestre
3,48,113,silvestre
3,144,113,silvestre
3,48,113,silvestre
3,1176,113,silvestre
3,60,113,silvestre
3,24,113,silvestre
3,216,113,silvestre
3,36,113,silvestre
3,36,113,silvestre
3,132,113,silvestre
3,1068,113,silvestre
3,12,113,silvestre
3,24,113,silvestre
3,24,113,silvestre
3,12,113,silvestre
3,60,113,silvestre
3,48,113,silvestre
3,132,113,silvestre
3,2640,113,silvestre
3,24,113,silvestre
3,312,113,silvestre
3,1608,113,silvestre
3,420,113,silvestre
3,36,113,silvestre
3,24,113,silvestre
3,48,113,silvestre
3,84,113,silvestre
3,2088,113,silvestre
3,12,113,silvestre
3,60,113,silvestre
3,48,113,silvestre
3,48,113,silvestre
3,72,113,silvestre
3,24,113,silvestre
3,72,113,silvestre
3,240,113,silvestre
3,96,113,silvestre
3,1776,113,silvestre
3,516,113,silvestre
3,36,113,silvestre
3,624,113,silvestre
3,1824,113,silvestre
3,12,113,silvestre
3,48,113,silvestre
3,24,113,silvestre
3,48,113,silvestre
3,612,113,silvestre
3,24,113,silvestre
3,12,113,silvestre
3,24,113,silvestre
3,3252,113,silvestre
3,48,113,silvestre
3,72,113,silvestre
3,648,113,silvestre
3,1164,113,silvestre
3,48,113,silvestre
3,180,113,silvestre
3,96,113,silvestre
3,48,113,silvestre
3,96,113,silvestre
3,36,113,silvestre
3,792,113,silvestre
3,300,113,silvestre
3,432,113,silvestre
3,708,113,silvestre
3,204,113,silvestre
3,36,113,silvestre
3,48,113,silvestre
3,756,113,silvestre
3,48,113,silvestre
3,72,113,silvestre
3,72,113,silvestre
3,1656,113,silvestre
3,168,113,silvestre
3,1020,197,silvestre
3,120,197,silvestre
3,48,197,silvestre
3,60,197,silvestre
3,48,197,silvestre
3,36,197,silvestre
3,1032,197,silvestre
3,24,197,silvestre
3,36,197,silvestre
3,24,197,silvestre
3,24,197,silvestre
3,24,197,silvestre
3,24,197,silvestre
3,828,197,silvestre
3,204,197,silvestre
3,24,197,silvestre
3,444,197,silvestre
3,24,197,silvestre
3,840,197,silvestre
3,36,197,silvestre
3,24,197,silvestre
3,48,197,silvestre
3,12,197,silvestre
3,348,197,silvestre
3,720,197,silvestre
3,24,197,silvestre
3,108,197,silvestre
3,2868,197,silvestre
3,36,197,silvestre
3,24,197,silvestre
3,6024,197,silvestre
3,36,197,silvestre
3,24,197,silvestre
3,36,197,silvestre
3,12,197,silvestre
3,24,197,silvestre
3,24,197,silvestre
3,3420,197,silvestre
3,36,197,silvestre
3,24,197,silvestre
3,24,197,silvestre
3,24,197,silvestre
3,12,197,silvestre
3,2220,197,silvestre
3,1560,197,silvestre
3,36,197,silvestre
3,36,197,silvestre
3,24,197,silvestre
3,60,197,silvestre
3,36,197,silvestre
3,192,197,silvestre
3,24,197,silvestre
3,60,197,silvestre
3,1956,197,silvestre
3,48,197,silvestre
3,12,197,silvestre
3,24,197,silvestre
3,84,197,silvestre
3,5076,197,silvestre
3,12,197,silvestre
3,36,197,silvestre
3,24,197,silvestre
3,24,197,silvestre
3,36,197,silvestre
3,60,197,silvestre
3,96,197,silvestre
3,48,197,silvestre
3,24,197,silvestre
3,108,197,silvestre
3,156,197,silvestre
3,4044,197,silvestre
3,36,197,silvestre
3,48,197,silvestre
3,36,197,silvestre
3,168,197,silvestre
3,36,197,silvestre
3,60,197,silvestre
3,84,197,silvestre
3,36,197,silvestre
3,48,197,silvestre
3,36,197,silvestre
3,60,197,silvestre
3,48,197,silvestre
3,372,197,silvestre
3,48,197,silvestre
3,60,197,silvestre
3,60,197,silvestre
3,48,197,silvestre
3,24,197,silvestre
3,156,197,silvestre
3,1284,197,silvestre
3,36,197,silvestre
3,36,197,silvestre
3,120,197,silvestre
3,48,197,silvestre
3,36,197,silvestre
3,3372,197,silvestre
3,36,197,silvestre
3,24,197,silvestre
3,48,712,silvestre
3,948,712,silvestre
3,300,712,silvestre
3,108,712,silvestre
3,144,712,silvestre
3,24,712,silvestre
3,36,712,silvestre
3,60,712,silvestre
3,48,712,silvestre
3,24,712,silvestre
3,48,712,silvestre
3,36,712,silvestre
3,84,712,silvestre
3,936,712,silvestre
3,72,712,silvestre
3,156,712,silvestre
3,132,712,silvestre
3,24,712,silvestre
3,12,712,silvestre
3,24,712,silvestre
3,24,712,silvestre
3,36,712,silvestre
3,204,712,silvestre
3,96,712,silvestre
3,24,712,silvestre
3,72,712,silvestre
3,1404,712,silvestre
3,144,712,silvestre
3,48,712,silvestre
3,204,712,silvestre
3,36,712,silvestre
3,48,712,silvestre
