behavior,seconds,group,mouse
otherWake,29,NA,122
sleep,68,NA,122
otherWake,34,NA,122
eating,65,NA,122
otherWake,32,NA,122
BA,138,NA,122
grooming,35,NA,122
otherWake,10,NA,122
eating,70,NA,122
otherWake,30,NA,122
drinking,8,NA,122
otherWake,25,NA,122
sleep,190,NA,122
eating,82,NA,122
otherWake,6,NA,122
grooming,14,NA,122
sleep,186,NA,122
otherWake,25,NA,122
sleep,212,NA,122
eating,95,NA,122
grooming,9,NA,122
drinking,13,NA,122
grooming,19,NA,122
BA,141,NA,122
eating,25,NA,122
grooming,16,NA,122
otherWake,11,NA,122
drinking,3,NA,122
grooming,218,NA,122
otherWake,19,NA,122
climbing,25,NA,122
otherWake,15,NA,122
grooming,6,NA,122
otherWake,62,NA,122
climbing,81,NA,122
otherWake,16,NA,122
grooming,22,NA,122
otherWake,5,NA,122
drinking,10,NA,122
otherWake,17,NA,122
grooming,7,NA,122
otherWake,37,NA,122
climbing,25,NA,122
BA,23,NA,122
otherWake,16,NA,122
eating,130,NA,122
otherWake,31,NA,122
climbing,23,NA,122
otherWake,18,NA,122
BA,79,NA,122
otherWake,7,NA,122
BA,120,NA,122
otherWake,11,NA,122
eating,59,NA,122
otherWake,10,NA,122
sleep,547,NA,122
otherWake,29,NA,122
eating,111,NA,122
otherWake,24,NA,122
drinking,5,NA,122
BA,125,NA,122
grooming,880,NA,122
eating,56,NA,122
otherWake,7,NA,122
grooming,3,NA,122
otherWake,35,NA,122
drinking,18,NA,122
otherWake,4,NA,122
sleep,45,NA,122
otherWake,16,NA,122
sleep,248,NA,122
otherWake,10,NA,122
eating,217,NA,122
otherWake,50,NA,122
sleep,90,NA,122
grooming,310,NA,122
otherWake,11,NA,122
climbing,15,NA,122
otherWake,12,NA,122
grooming,7,NA,122
otherWake,9,NA,122
drinking,6,NA,122
otherWake,43,NA,122
drinking,7,NA,122
otherWake,14,NA,122
climbing,88,NA,122
eating,14,NA,122
otherWake,25,NA,122
grooming,84,NA,122
otherWake,16,NA,122
eating,40,NA,122
BA,13,NA,122
eating,166,NA,122
BA,16,NA,122
eating,18,NA,122
BA,18,NA,122
eating,18,NA,122
otherWake,33,NA,122
climbing,30,NA,122
otherWake,12,NA,122
BA,10,NA,122
grooming,9,NA,122
drinking,18,NA,122
otherWake,47,NA,122
grooming,7,NA,122
otherWake,20,NA,122
climbing,44,NA,122
otherWake,23,NA,122
climbing,12,NA,122
otherWake,4,NA,122
BA,37,NA,122
otherWake,4,NA,122
drinking,10,NA,122
otherWake,19,NA,122
eating,216,NA,122
otherWake,17,NA,122
sleep,1065,NA,122
otherWake,34,NA,122
sleep,548,NA,122
grooming,625,NA,122
otherWake,8,NA,122
eating,98,NA,122
otherWake,9,NA,122
drinking,3,NA,122
otherWake,22,NA,122
sleep,270,NA,122
grooming,11,NA,122
drinking,5,NA,122
otherWake,6,NA,122
eating,181,NA,122
otherWake,14,NA,122
drinking,11,NA,122
otherWake,15,NA,122
BA,144,NA,122
drinking,9,NA,122
otherWake,18,NA,122
sleep,165,NA,122
otherWake,21,NA,122
eating,113,NA,122
otherWake,6,NA,122
drinking,6,NA,122
otherWake,18,NA,122
sleep,176,NA,122
otherWake,11,NA,122
sleep,306,NA,122
otherWake,8,NA,122
grooming,30,NA,122
otherWake,8,NA,122
eating,105,NA,122
otherWake,21,NA,122
sleep,513,NA,122
otherWake,11,NA,122
grooming,18,NA,122
drinking,11,NA,122
otherWake,21,NA,122
sleep,240,NA,122
grooming,271,NA,122
otherWake,4,NA,122
eating,52,NA,122
otherWake,19,NA,122
sleep,233,NA,122
otherWake,22,NA,122
drinking,11,NA,122
otherWake,7,NA,122
sleep,206,NA,122
grooming,42,NA,122
otherWake,3,NA,122
eating,61,NA,122
otherWake,47,NA,122
sleep,449,NA,122
grooming,14,NA,122
sleep,98,NA,122
grooming,41,NA,122
eating,197,NA,122
BA,16,NA,122
eating,120,NA,122
otherWake,34,NA,122
sleep,49,NA,122
grooming,173,NA,122
otherWake,19,NA,122
grooming,31,NA,122
drinking,7,NA,122
otherWake,6,NA,122
eating,155,NA,122
grooming,15,NA,122
eating,129,NA,122
otherWake,59,NA,122
grooming,13,NA,122
otherWake,69,NA,122
drinking,5,NA,122
otherWake,20,NA,122
climbing,13,NA,122
drinking,21,NA,122
otherWake,22,NA,122
climbing,33,NA,122
otherWake,32,NA,122
eating,27,NA,122
BA,19,NA,122
eating,203,NA,122
otherWake,94,NA,122
eating,28,NA,122
otherWake,60,NA,122
climbing,34,NA,122
grooming,50,NA,122
sleep,72,NA,140
grooming,47,NA,140
otherWake,15,NA,140
grooming,220,NA,140
sleep,321,NA,140
grooming,11,NA,140
otherWake,9,NA,140
drinking,5,NA,140
otherWake,81,NA,140
eating,48,NA,140
BA,23,NA,140
eating,6,NA,140
otherWake,94,NA,140
sleep,25,NA,140
otherWake,75,NA,140
eating,65,NA,140
grooming,20,NA,140
drinking,13,NA,140
otherWake,36,NA,140
drinking,5,NA,140
otherWake,143,NA,140
sleep,47,NA,140
otherWake,17,NA,140
grooming,7,NA,140
otherWake,14,NA,140
eating,66,NA,140
otherWake,15,NA,140
eating,173,NA,140
grooming,43,NA,140
otherWake,18,NA,140
sleep,26,NA,140
otherWake,29,NA,140
grooming,10,NA,140
otherWake,9,NA,140
drinking,15,NA,140
otherWake,15,NA,140
BA,14,NA,140
drinking,17,NA,140
otherWake,54,NA,140
grooming,26,NA,140
otherWake,31,NA,140
BA,36,NA,140
otherWake,30,NA,140
sleep,101,NA,140
otherWake,6,NA,140
eating,49,NA,140
otherWake,13,NA,140
eating,140,NA,140
grooming,24,NA,140
otherWake,15,NA,140
BA,83,NA,140
otherWake,3,NA,140
drinking,16,NA,140
otherWake,40,NA,140
sleep,444,NA,140
otherWake,9,NA,140
eating,148,NA,140
grooming,11,NA,140
otherWake,16,NA,140
eating,30,NA,140
grooming,7,NA,140
otherWake,50,NA,140
BA,14,NA,140
otherWake,43,NA,140
sleep,53,NA,140
otherWake,11,NA,140
grooming,7,NA,140
otherWake,7,NA,140
drinking,12,NA,140
otherWake,17,NA,140
BA,36,NA,140
eating,59,NA,140
otherWake,20,NA,140
grooming,8,NA,140
otherWake,5,NA,140
drinking,7,NA,140
otherWake,43,NA,140
sleep,25,NA,140
otherWake,16,NA,140
eating,61,NA,140
BA,58,NA,140
grooming,180,NA,140
BA,146,NA,140
grooming,263,NA,140
drinking,10,NA,140
otherWake,20,NA,140
sleep,80,NA,140
grooming,4,NA,140
eating,131,NA,140
otherWake,13,NA,140
drinking,12,NA,140
otherWake,38,NA,140
eating,17,NA,140
BA,46,NA,140
eating,129,NA,140
BA,35,NA,140
otherWake,91,NA,140
BA,188,NA,140
grooming,13,NA,140
otherWake,85,NA,140
sleep,155,NA,140
otherWake,83,NA,140
sleep,854,NA,140
otherWake,21,NA,140
eating,258,NA,140
otherWake,147,NA,140
sleep,325,NA,140
grooming,443,NA,140
BA,78,NA,140
grooming,35,NA,140
otherWake,7,NA,140
eating,66,NA,140
BA,16,NA,140
eating,186,NA,140
otherWake,5,NA,140
drinking,21,NA,140
otherWake,17,NA,140
sleep,299,NA,140
otherWake,22,NA,140
sleep,793,NA,140
otherWake,13,NA,140
drinking,4,NA,140
otherWake,43,NA,140
BA,16,NA,140
otherWake,12,NA,140
BA,48,NA,140
eating,44,NA,140
grooming,90,NA,140
otherWake,141,NA,140
BA,72,NA,140
otherWake,28,NA,140
eating,67,NA,140
BA,10,NA,140
eating,105,NA,140
BA,10,NA,140
eating,44,NA,140
otherWake,31,NA,140
sleep,69,NA,140
otherWake,46,NA,140
sleep,465,NA,140
grooming,504,NA,140
sleep,448,NA,140
grooming,18,NA,140
otherWake,13,NA,140
eating,166,NA,140
otherWake,24,NA,140
sleep,429,NA,140
otherWake,30,NA,140
eating,72,NA,140
otherWake,35,NA,140
drinking,22,NA,140
otherWake,12,NA,140
sleep,772,NA,140
otherWake,20,NA,140
eating,226,NA,140
otherWake,20,NA,140
drinking,37,NA,140
otherWake,15,NA,140
BA,59,NA,140
drinking,17,NA,140
otherWake,37,NA,140
eating,153,NA,140
otherWake,46,NA,140
sleep,445,NA,140
otherWake,23,NA,151
grooming,15,NA,151
otherWake,11,NA,151
drinking,21,NA,151
otherWake,96,NA,151
eating,69,NA,151
otherWake,35,NA,151
grooming,22,NA,151
eating,96,NA,151
otherWake,25,NA,151
grooming,14,NA,151
climbing,16,NA,151
otherWake,60,NA,151
eating,105,NA,151
BA,134,NA,151
drinking,23,NA,151
grooming,60,NA,151
otherWake,14,NA,151
grooming,74,NA,151
otherWake,13,NA,151
climbing,6,NA,151
grooming,110,NA,151
otherWake,9,NA,151
grooming,152,NA,151
otherWake,9,NA,151
climbing,7,NA,151
grooming,197,NA,151
BA,42,NA,151
otherWake,23,NA,151
sleep,335,NA,151
otherWake,14,NA,151
eating,181,NA,151
grooming,50,NA,151
BA,143,NA,151
grooming,664,NA,151
BA,56,NA,151
grooming,412,NA,151
otherWake,21,NA,151
climbing,14,NA,151
drinking,17,NA,151
otherWake,9,NA,151
climbing,182,NA,151
eating,23,NA,151
grooming,95,NA,151
eating,99,NA,151
otherWake,41,NA,151
grooming,156,NA,151
climbing,9,NA,151
drinking,12,NA,151
climbing,11,NA,151
otherWake,13,NA,151
climbing,77,NA,151
otherWake,12,NA,151
eating,36,NA,151
otherWake,31,NA,151
BA,42,NA,151
otherWake,77,NA,151
eating,230,NA,151
drinking,28,NA,151
otherWake,13,NA,151
grooming,21,NA,151
otherWake,56,NA,151
grooming,142,NA,151
climbing,79,NA,151
drinking,30,NA,151
climbing,25,NA,151
eating,56,NA,151
otherWake,22,NA,151
grooming,103,NA,151
otherWake,18,NA,151
climbing,57,NA,151
otherWake,15,NA,151
grooming,48,NA,151
eating,9,NA,151
otherWake,31,NA,151
climbing,81,NA,151
otherWake,64,NA,151
grooming,31,NA,151
otherWake,37,NA,151
climbing,24,NA,151
grooming,11,NA,151
otherWake,24,NA,151
climbing,52,NA,151
eating,164,NA,151
BA,31,NA,151
eating,103,NA,151
otherWake,10,NA,151
sleep,38,NA,151
otherWake,30,NA,151
drinking,18,NA,151
otherWake,14,NA,151
climbing,36,NA,151
grooming,11,NA,151
otherWake,10,NA,151
climbing,80,NA,151
otherWake,10,NA,151
BA,20,NA,151
drinking,16,NA,151
otherWake,4,NA,151
climbing,22,NA,151
otherWake,49,NA,151
climbing,80,NA,151
otherWake,27,NA,151
climbing,12,NA,151
otherWake,20,NA,151
climbing,4,NA,151
grooming,37,NA,151
otherWake,10,NA,151
climbing,43,NA,151
otherWake,23,NA,151
eating,209,NA,151
BA,22,NA,151
eating,88,NA,151
BA,13,NA,151
eating,7,NA,151
drinking,16,NA,151
otherWake,15,NA,151
sleep,24,NA,151
otherWake,14,NA,151
sleep,72,NA,151
grooming,314,NA,151
BA,36,NA,151
grooming,10,NA,151
sleep,561,NA,151
grooming,239,NA,151
sleep,575,NA,151
grooming,220,NA,151
BA,37,NA,151
grooming,248,NA,151
sleep,137,NA,151
grooming,412,NA,151
otherWake,8,NA,151
climbing,89,NA,151
grooming,11,NA,151
climbing,89,NA,151
drinking,22,NA,151
grooming,24,NA,151
climbing,170,NA,151
grooming,89,NA,151
climbing,60,NA,151
eating,260,NA,151
otherWake,75,NA,151
grooming,120,NA,151
climbing,7,NA,151
otherWake,87,NA,151
drinking,11,NA,151
climbing,247,NA,151
drinking,15,NA,151
otherWake,26,NA,151
climbing,42,NA,151
otherWake,15,NA,151
climbing,84,NA,151
otherWake,91,NA,151
drinking,6,NA,151
otherWake,23,NA,151
climbing,22,NA,151
grooming,36,NA,151
otherWake,151,NA,151
grooming,74,NA,151
otherWake,37,NA,151
eating,107,NA,151
BA,18,NA,151
eating,250,NA,151
sleep,304,NA,151
grooming,617,NA,151
drinking,17,NA,151
sleep,1643,NA,151
eating,46,NA,156
otherWake,25,NA,156
drinking,9,NA,156
otherWake,47,NA,156
sleep,759,NA,156
grooming,295,NA,156
otherWake,3,NA,156
eating,81,NA,156
otherWake,30,NA,156
drinking,15,NA,156
otherWake,29,NA,156
eating,138,NA,156
grooming,11,NA,156
otherWake,9,NA,156
drinking,4,NA,156
otherWake,638,NA,156
grooming,32,NA,156
sleep,180,NA,156
grooming,212,NA,156
otherWake,7,NA,156
eating,186,NA,156
otherWake,47,NA,156
drinking,13,NA,156
otherWake,46,NA,156
drinking,9,NA,156
climbing,9,NA,156
otherWake,15,NA,156
drinking,6,NA,156
otherWake,40,NA,156
eating,196,NA,156
BA,78,NA,156
eating,11,NA,156
otherWake,19,NA,156
drinking,21,NA,156
otherWake,16,NA,156
sleep,679,NA,156
otherWake,11,NA,156
eating,32,NA,156
BA,16,NA,156
eating,12,NA,156
BA,19,NA,156
eating,133,NA,156
sleep,127,NA,156
grooming,12,NA,156
drinking,28,NA,156
otherWake,39,NA,156
eating,57,NA,156
sleep,44,NA,156
otherWake,7,NA,156
drinking,5,NA,156
otherWake,28,NA,156
eating,47,NA,156
otherWake,13,NA,156
sleep,35,NA,156
grooming,12,NA,156
otherWake,14,NA,156
sleep,25,NA,156
eating,19,NA,156
sleep,245,NA,156
eating,85,NA,156
BA,14,NA,156
